label,index,nr_pix,rows_with_1,cols_with_1,rows_with_3p,cols_with_3p,aspect_ratio,neigh_1,no_neigh_above,no_neigh_below,no_neigh_left,no_neigh_right,no_neigh_horiz,no_neigh_vert,connected_areas,eyes,densest_quadrant
a,1,42,2,0,9,8,0.71,1,6,7,18,17,21,9,1,1,2
a,2,35,1,1,8,4,0.91,1,5,5,13,13,18,11,1,1,4
a,3,32,1,0,8,4,1,0,6,6,11,10,14,8,1,1,4
a,4,25,0,1,6,3,1.12,1,4,4,9,10,19,10,1,1,4
a,5,28,1,0,6,5,0.89,1,4,5,11,9,15,7,1,1,1
a,6,30,1,2,7,4,1,1,4,6,12,9,17,9,1,1,4
a,7,21,1,3,4,4,1.12,1,3,3,5,6,15,10,1,1,4
a,8,26,0,2,7,4,1.29,1,5,7,9,9,14,10,1,1,3
b,1,26,6,0,3,2,0.38,1,5,3,16,12,17,8,1,1,3
b,2,30,5,1,6,5,0.54,1,5,4,13,9,14,8,1,1,3
b,3,34,6,1,6,5,0.62,1,7,7,13,11,15,10,1,1,1
b,4,31,6,0,5,4,0.54,1,7,8,14,13,15,10,1,1,1
b,5,32,6,0,6,3,0.57,1,5,6,12,11,16,12,1,1,1
b,6,31,5,0,5,3,0.54,1,5,5,15,11,17,11,1,1,3
b,7,30,5,0,3,3,0.58,0,10,8,14,10,14,12,1,1,3
b,8,27,5,0,3,3,0.42,1,5,5,16,12,16,7,1,1,4
c,1,18,6,1,2,2,0.7,2,7,6,5,4,7,12,1,0,2
c,2,18,7,3,3,1,1,2,8,9,3,3,8,15,1,0,1
c,3,23,6,1,4,3,0.9,2,10,10,5,5,8,15,1,0,3
c,4,22,7,0,3,2,0.89,2,11,11,5,5,7,15,1,0,1
c,5,21,4,1,3,2,1,2,8,8,2,3,7,15,1,0,3
c,6,21,7,2,3,2,0.9,2,9,9,4,4,7,15,1,0,3
c,7,18,6,0,2,2,0.88,2,10,9,4,3,6,13,1,0,3
c,8,21,7,0,2,2,0.8,2,9,9,5,5,7,14,1,0,3
d,1,35,4,0,8,6,0.67,1,6,6,13,14,16,10,1,1,4
d,2,28,5,0,4,4,0.5,2,6,6,13,13,14,8,1,1,4
d,3,28,4,0,6,4,0.64,1,5,5,10,11,13,8,1,1,4
d,4,26,2,1,5,3,0.78,1,6,7,8,8,9,10,1,1,4
d,5,30,6,1,4,3,0.62,2,5,8,13,13,16,10,1,1,1
d,6,36,2,1,6,5,0.46,1,4,2,12,14,10,6,1,1,4
d,7,26,4,1,5,4,0.6,2,2,5,10,10,11,6,1,1,2
d,8,24,5,0,2,3,0.45,1,4,5,8,13,13,7,1,1,4
e,1,20,1,1,3,6,1,1,7,8,3,3,7,12,1,1,1
e,2,19,0,1,3,5,1,1,6,6,4,5,8,9,1,1,1
e,3,20,0,0,3,6,0.71,1,6,5,5,5,8,8,1,1,1
e,4,21,2,0,3,6,0.62,1,7,7,6,5,10,13,1,1,1
e,5,23,1,0,4,6,0.62,1,7,5,7,6,10,8,1,1,3
e,6,23,1,0,3,6,0.56,1,6,5,8,8,13,11,1,1,1
e,7,22,2,0,4,6,0.67,1,6,5,5,5,11,11,1,1,1
e,8,21,2,0,3,5,0.71,1,7,7,4,6,8,9,1,1,4
f,1,18,10,1,2,2,0.25,3,4,3,11,8,10,4,1,0,2
f,2,20,9,1,2,2,0.45,3,7,5,10,8,11,7,1,0,4
f,3,20,10,0,2,3,0.33,2,6,5,11,9,11,6,1,0,4
f,4,17,11,1,1,1,0.25,3,4,4,12,10,11,5,1,0,4
f,5,21,11,0,2,3,0.38,2,6,5,11,9,12,6,1,0,4
f,6,20,9,3,3,2,0.42,3,4,3,10,9,10,6,1,0,4
f,7,20,11,0,2,2,0.31,3,5,5,9,9,11,7,1,0,1
f,8,22,12,0,2,3,0.27,2,4,2,12,11,16,3,1,0,4
g,1,24,4,0,2,5,0.36,1,4,5,8,11,14,9,1,1,2
g,2,29,4,0,4,6,0.38,0,4,4,10,12,17,10,1,1,3
g,3,27,6,1,4,5,0.46,0,4,5,10,10,15,11,1,1,4
g,4,27,3,0,5,6,0.45,1,5,6,7,11,14,11,1,1,4
g,5,31,4,0,5,6,0.55,1,9,8,7,10,11,11,1,1,4
g,6,28,2,0,4,6,0.45,1,4,6,10,11,14,8,1,1,4
g,7,30,2,0,8,7,0.55,1,6,6,9,10,12,10,1,1,4
g,8,26,3,0,3,6,0.45,1,5,6,7,11,15,8,1,1,4
h,1,21,6,2,3,3,0.55,3,2,2,14,14,21,2,1,0,1
h,2,24,6,0,6,2,0.55,2,3,3,16,15,16,0,1,0,1
h,3,22,6,4,4,2,0.64,2,2,2,14,12,18,4,1,0,1
h,4,20,8,2,4,1,0.55,2,3,3,12,12,14,2,1,0,1
h,5,23,6,2,5,1,0.64,2,2,3,15,14,19,2,1,0,1
h,6,21,4,3,5,2,0.78,2,2,2,11,13,17,3,1,0,1
h,7,22,5,2,5,3,0.6,2,3,2,14,13,16,2,1,0,1
h,8,23,7,2,4,2,0.42,3,3,2,17,14,17,2,1,0,1
i,1,5,5,1,0,1,0.11,2,2,2,5,5,5,1,2,0,1
